Iteration,dLoss,LossBefore,MinReturn,StdReturn,MeanKL,MeanKLBefore,MaxReturn,AverageDiscountedReturn,Entropy,AverageReturn,ExplainedVariance,NumTrajs,LossAfter,Perplexity
116,0.0472201887519,7.763797375e-18,1,1.54780904462,0.00642045637945,0.0,10,4.20792079208,1.77985228374,4.20792079208,0.436169845469,303,-0.0472201887519,5.9289805471
117,0.0505738269438,1.67544257894e-17,0,1.52687264194,0.00643778631128,0.0,11,4.15841584158,1.79587622245,4.15841584158,0.407772130863,303,-0.0505738269438,6.02475143215
118,0.0500020179155,-2.85383008576e-18,0,1.52245428043,0.00648254985723,0.0,10,4.39473684211,1.78634433973,4.39473684211,0.442911562208,304,-0.0500020179155,5.96759703533
119,0.0491705142915,-9.28871853272e-18,0,1.5590821344,0.00643358763975,0.0,10,4.29276315789,1.75880533081,4.29276315789,0.389999897909,304,-0.0491705142915,5.80549760076
120,0.0630501539642,5.28360820209e-17,0,1.65803267646,0.0098743399321,0.0,10,4.35714285714,1.77546795511,4.35714285714,0.396844139233,308,-0.0630501539642,5.90304284916
121,0.0474366748015,9.95086739803e-17,0,1.67208737861,0.00645136673577,0.0,10,4.42207792208,1.75465464371,4.42207792208,0.425316144743,308,-0.0474366748015,5.78145073674
122,0.0466687173247,6.90768448605e-17,0,1.7098843698,0.00643712411451,0.0,11,4.33986928105,1.75600372013,4.33986928105,0.391150886999,306,-0.0466687173247,5.78925561915
123,0.0477420574439,-9.96460455909e-19,0,1.64038878826,0.00647449818452,0.0,10,4.39534883721,1.75856087657,4.39534883721,0.440139070319,301,-0.0477420574439,5.8040785957
124,0.058271918976,-3.88578058619e-17,1,1.65163287581,0.00989378520866,0.0,10,4.57142857143,1.73229034604,4.57142857143,0.432882424293,294,-0.058271918976,5.65358776364
0,0.0573424475354,-1.23819783435e-17,0,1.64217308556,0.00988387411612,0.0,10,4.49828178694,1.74721335487,4.49828178694,0.389601982171,291,-0.0573424475354,5.7385889631
1,0.0479684556417,4.42038373509e-18,0,1.53676620737,0.00641530969988,0.0,10,4.6711409396,1.73578304857,4.6711409396,0.454434545828,298,-0.0479684556417,5.67336858807
2,0.044364957677,4.28965535855e-18,2,1.62450383966,0.0064080001197,0.0,10,4.42434210526,1.71942235042,4.42434210526,0.427469657602,304,-0.044364957677,5.58130349529
3,0.0579479267759,-1.41094310426e-16,1,1.53750636006,0.00984499948391,0.0,11,4.37540453074,1.70894734085,4.37540453074,0.459691201494,309,-0.0579479267759,5.52314442796
4,0.0582551032868,-5.49577000724e-17,1,1.59221093179,0.00996245960589,0.0,10,4.41042345277,1.71074448111,4.41042345277,0.439159747473,307,-0.0582551032868,5.53307921762
5,0.0607089094825,2.69027312987e-18,0,1.58906917732,0.00978303112406,0.0,11,4.30618892508,1.72902973591,4.30618892508,0.450582325047,307,-0.0607089094825,5.63518363872
6,0.0488021569648,6.66825973768e-17,0,1.42898085765,0.00644017472352,0.0,9,4.22591362126,1.72325081325,4.22591362126,0.485644493134,301,-0.0488021569648,5.60271226346
7,0.0495011084119,-8.31001933932e-17,2,1.57880342772,0.00645293147222,0.0,10,4.49836065574,1.70627373637,4.49836065574,0.469578595756,305,-0.0495011084119,5.50839744685
8,0.0460816459632,-2.42341389491e-17,0,1.54775920218,0.00641442975241,0.0,11,4.52491694352,1.67853364981,4.52491694352,0.455156762799,301,-0.0460816459632,5.35769395277
9,0.0617174202986,1.2382829911e-17,-1,1.71472256241,0.00980244795777,0.0,10,4.61148648649,1.69533850082,4.61148648649,0.378525615694,296,-0.0617174202986,5.44848997143
